"* Required Fields","* 必填栏目"
"Continue Shopping","继续购物"
"Continue to Billing Information","下一步:选择支付方式"
"Continue to Review Your Order","下一步 : 确认订单"
"Continue to Shipping Information","下一步 : 选择配送方式"
"Country","国家"
"Coupon code ""%s"" is not valid.","尊享代码""%s""不正确"
"Coupon code ""%s"" was applied successfully.","成功使用尊享代码 ""%s""."
"Coupon code was canceled successfully.","成功取消尊享代码。"
"Coupon code was canceled","取消尊享代码"
"Create Billing Address","创建账单地址"
"Create Shipping Address","创建配送地址"
"Customer Address is not valid.","客户地址无效."
"Data saving problem","保存数据错误"
"Default Billing","缺省账单"
"Default Shipping","缺省配送"
"Delete Condition","删除条款"
"Details","查看商品"
"Disable Onepage Checkout","禁用单页结帐"
"Disabled","禁用"
"Discount Codes","优惠信息"
"Display Cart Summary","购物车显示"
"Display item quantities","商品数量"
"Display number of items in cart","商品品种的数量"
"Display Shopping Cart Sidebar","显示购物车侧栏"
"Easy access to your order history and status","方便查阅订单记录和订单状态"
"Edit","修改"
"Edit Address","修改地址"
"Edit Billing Address","修改账单地址"
"Edit Items","修改商品"
"Edit Shipping Address","修改配送地址"
"Edit Terms and Conditions","修改条款"
"Edit Your Cart","修改购物车"
"Email Address","电子邮件地址"
"Enable Terms and Conditions","启用购买条款"
"Enabled","启用"
"Enter a New Address","输入新的地址"
"Enter your coupon code if you have one.","请在以下方框中输入优惠券代码，一般为字母或数组组合。"
"Enter your destination to get a shipping estimate.","输入目的地估计运费。"
"Error while deleting this condition. Please try again later.","删除该条款有误，请稍后重试。"
"Error while saving this condition. Please try again later.","保存条款有误，请稍后重置。"
"Estimate Shipping and Tax","运费估计"
"Excl. Tax","不含税"
"Fast and easy check out","网店将保留您的购物积分"
"Fax","固定电话"
"Forgot an Item?","忘记购买商品了？"
"Forgot your password?","忘记密码了？"
"Get a Quote","提交"
"Grand Total:","总计："
"Grouped product image","组合商品的图片"
"HTML","HTML"
"ID","ID"
"Incl. Tax","含税"
"Invalid data","数据不正确"
"Item not found or already ordered","没有发现项目或已经下了订单"
"Invalid email address ""%s""","邮件地址不正确 ""%s"""
"Invalid shipping method.","配送方式不正确。"
"Items","件商品"
"Load customer quote error","加载客户询价错误"
"Loading next step...","加载下一步..."
"Login","登录"
"Manage Checkout Terms and Conditions","管理购买条款"
"Maximum display Recently added item(s)","最近增加商品最大显示数"
"Maximum qty allowed for Shipping to multiple addresses is %s","允许的发货地址数量为%s"
"Move to Wishlist","移到收藏"
"My Account","我的帐户"
"My Cart","购物车"
"My Cart (%s item)","购物车(%s件商品)"
"My Cart (%s items)","购物车(%s件商品)"
"My Cart Link","购物车"
"Multishipping Checkout","多运送检查"
"Multishipping Checkout Address (Any) Form","多个检查地址(任何)形式"
"Multishipping Checkout Billing Address Creation","创建多个运送检查账单地址"
"Multishipping Checkout Billing Address Edit Form","修改多个运送检查账单地址"
"Multishipping Checkout Billing Address Selection","选择多个运送检查账单地址"
"Multishipping Checkout Billing Information Step","多个运送检查信息步骤"
"Multishipping Checkout Customer Address Edit Form","多个运送检查信息地址修改形式"
"Multishipping Checkout Overview","多个运送检查信息描述"
"Multishipping Checkout Success","多个运送检查成功"
"New Address","新的地址"
"New Condition","新建条款"
"One Page Checkout","一页检查"
"One Page Checkout Failure","一页检查失败"
"One Page Checkout Success","一页检查成功"
"Order #","订单 #"
"Order Review","确认订单"
"Order Success","订单成功"
"osCommerce Orders","osCommerce 订单"
"Other items in your order","您订购的其他商品"
"Password","密码"
"Payment Failed Email Reciever","支付失败邮件收件人"
"Payment Failed Email Sender","支付失败邮件发件人"
"Payment Failed Emails","支付失败邮件"
"Payment Failed Template","支付失败邮件模板"
"Payment Information","支付信息"
"Payment Method","支付方式"
"Payment method is not defined","未选择支付方式"
"Payment Methods After Checkout Button","在结账按钮之后的付款方式"
"Payment Methods Before Checkout Button","在结账按钮之前的付款方式"
"Payment profile # %s: ""%s"".","Payment profile # %s: ""%s""."
"Place Order","确认订单"
"Please <a href=""%s"">continue shopping</a>.","请 <a href=""%s"">继续购物</a>。"
"Please agree to all Terms and Conditions before placing the order.","在下订单之前请选择同意所有购买条款。"
"Please agree to all Terms and Conditions before placing the orders.","在下订单之前请选择同意所有购买条款。"
"Please enter a valid zip code. For example 90602 or 90602-1234.","请输入正确的邮编，例如 90602 或 90602-1234"
"Please log in below:","请在下面登录："
"Please select region, state or province","请选择省份或地区"
"Please select shipping address for applicable items","请选择商品配送地址"
"Please select shipping methods for all addresses","请选择所有地址的配送方式"
"Price","价格"
"Proceed to Checkout","提交订单"
"Product","商品"
"Product does not exist","商品不存在"
"Product Name","产品名称"
"Qty","数量"
"Quote Lifetime (days)","报价有效期 (天)"
"Recently added item(s)","刚加入购物车的商品"
"Register","注册"
"Register and save time!","注册节省时间！"
"Register to Create an Account","注册帐户"
"Register with us for future convenience:","注册帐号，方便以后的操作："
"Remove","删除"
"Remove Item","删除商品"
"Remove item","删除记录"
"Remove Product","删除商品"
"Review Order","确认订单"
"Review Order - %s","确认订单 - %s"
"Sales","销售"
"Save Condition","保存条款"
"Save in address book","保存到地址簿"
"Select a billing address from your address book or enter a new address.","从您的地址簿中选择账单地址，或者输入新的地址。"
"Select a shipping address from your address book or enter a new address.","从您的地址簿中选择送货地址，或者输入新的地址。"
"Select Address","选择地址"
"Select Addresses","选择地址"
"Select Shipping Method","选择配送方式"
"Select State/Province...","选择省份..."
"Send Payment Failed Email Copy Method","支付失败邮件副本发送方式"
"Send Payment Failed Email Copy To","发送支付失败邮件副本到"
"Send to","收货人"
"separate by "",""","多个记录以半角逗号 "","" 分割"
"Ship to different address","发货到不同地址"
"Ship to Multiple Addresses","发货到多个地址"
"Ship to this address","发货到该地址"
"Shipping Address","配送地址"
"Shipping Information","支付配送信息"
"Shipping Method","配送方式"
"Shipping method has not been selected yet","还未选择配送方式"
"Shipping Methods","配送方式"
"Shipping selection is not applicable","配送选择不可用"
"Shipping to","发货地址"
"Shopping Cart","购物车"
"Shopping Cart Form Before","在购物车形式之前"
"Shopping Cart is Empty","还没添加商品呢!"
"Shopping Cart Sidebar","购物车侧栏"
"Show Content as","内容显示格式"
"Checkbox Text","选框提示文字"
"Some of the requested products are not available in the desired quantity.","在预期的数量中,您订购的某些商品数量不足."
"Some of the products you requested are not available in the desired quantity","您订购的某些商品数量不足"
"Some of the products you requested are unavailable","您订购的某些商品没有存货"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","对不起，未启用访客结帐功能。请重试或者联系店主。"
"Sorry, no quotes are available for this order at this time.","对不起，目前没有该订单的报价。"
"Sorry, Onepage Checkout is disabled.","对不起，单页结帐已禁用。"
"State/Province","省份"
"Status","状态"
"Store View","商店视图"
"Street Address","地址行一"
"Street Address ","街道地址 "
"Submitting order information...","提交订单信息..."
"Subtotal","小计"
"Telephone","手机"
"Terms and Conditions","条款"
"Terms and conditions","条款与条件"
"Terms and Conditions Information","条款信息"
"Text","纯文本"
"Thank you for your purchase!","感谢您的惠顾！"
"The condition has been deleted","已删除条件"
"The condition has been saved.","已保存条件."
"The onepage checkout is disabled.","一页检查是不可用的."
"The product could not be found.","商品未发现."
"The product does not exist.","商品不存在."
"There are <a href=""%s"">%s items</a> in your cart.","购物车中有<a href=""%s""><strong>%s件商品</strong></a>。"
"There is <a href=""%s"">1 item</a> in your cart.","购物车中有<a href=""%s""><strong>1件商品</strong></a>。"
"There is already a customer registered using this email address","已有客户注册了这个邮件地址"
"There was an error processing your order. Please contact us or try again later.","处理订单出错，请联系我们或稍后再试。"
"This condition no longer exists","此条款不存在"
"Total","总计"
"Total for this address","该地址总计"
"Unable to set Payment Method.","无法设置付费方式."
"Unit Price","单价"
"Update Qty &amp; Addresses","更新数量和地址"
"Update Shopping Cart","更新购物车"
"Update Total","将运费加入总计"
"Use Billing Address","使用账单地址"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","我们正在处理您的订单，您很快会收到含有订单详细内容的邮件。订单发货后，您会收到另一封含有查询订单状态链接的邮件。"
"You have no items in your shopping cart.","您的购物车中没有商品。"
"You will receive an order confirmation email with details of your order and a link to track its progress.","您会收到订单确认邮件，包含详细的订单内容以及查询订单状态的链接。"
"Your Checkout Progress","您的结帐进度"
"Your order # is: %s.","您的订单是：%s。"
"Your order # is: <a href=""%s"">%s</a>.","您的订单号码是: <a href=""%s"">%s</a>。"
"Your order has been received","您的订单已收到"
"Your order number is ","您的订单号码是 "
"Your billing agreement # is: %s.","您的付款协议#是: %s."
"Your recurring payment profiles:","您的重复付费为:"
"Your Checkout Progress","您的结算步骤"
"Zip/Postal Code","邮编"
"Send To","发货至"
"Shipping To","发送至"
"Back to Select Addresses","返回选择地址"
"Back to Billing Information","返回支付方式"
"Make Check payable to","收款人"
"Coupon code ""%s"" was applied.","尊享代码 ""%s"" 已成功应用。"
