"-- Please Select --","-- 请选择 --"
"Add New Class","增加新税种"
"Please select County","请选择国家"
"Please select State","请选择省份"
"Priority","优先级"
"Product Tax Class","商品税种"
"Product Tax Class Information","商品税种信息"
"Product Tax Classes","商品税种"
"Price Display Settings","价格显示设置"
"Range From","范围从"
"Range To","范围至"
"Rate Percent","率的百分比"
"Row Total","行总计"
"Save and Continue Edit","保存并继续修改"
"Rate","比例"
"Reset","重置"
"Sales","销售"
"Save Class","保存税种"
"Save Rate","保存税率"
"Save Rule","保存规则"
"Shipping prices include tax","配送价格包含税收"
"Shipping (Excl. Tax)","配送(不含税)"
"Shipping (Incl. Tax)","配送(含税)"
"Shipping & Handling (Excl.Tax)","配送&处理(不含税)"
"Shipping & Handling (Incl.Tax)","配送&处理(含税)"
"Shipping Excl. Tax (%s)","不含税配送(%s)"
"Shipping Incl. Tax (%s)","含税配送(%s)"
"Shipping Prices","配送价格"
"Shopping Cart Display Settings","购物车显示设置"
"Sort Order","排列顺序"
"State","省份"
"State/Region","省份/地区"
"Subtotal (Excl. Tax)","小计(不含税)"
"Subtotal (Excl.Tax)","小计(不含税)"
"Subtotal (Incl. Tax)","小计(含税)"
"Subtotal (Incl.Tax)","小计(含税)"
"Tax","税"
"Tax Based On","税收标准"
"Tax Calculation Based On","计税基于"
"Tax Calculation Method Based On","基于税收的计算方法"
"Tax Class for Shipping","配送税种"
"Tax class was successfully deleted","成功删除税种"
"Tax class was successfully saved","成功保存税种"
"Tax Classes","税种"
"Tax Identifier","税率标识符"
"Tax Rate","税率"
"Tax Rate Information","税率信息"
"Tax rate was successfully deleted","成功删除税率"
"Tax rate was successfully imported","成功导入税率"
"Tax rate was successfully saved","成功保存税率"
"Tax rates at the same priority are added, others are compounded.","处于同一优先级的税率将被添加，其余将被累加。"
"Tax Rule Information","税则信息"
"Tax rule was successfully deleted","成功删除税则"
"Tax rule was successfully saved","成功保存税则"
"Tax Rules","税则"
"Tax Section","税单元"
"Tax Titles","税率标题"
"This class no longer exists","该类已不存在"
"This rule no longer exists","该规则已不存在"
"The tax class has been deleted.","该税类已删除."
"The tax class has been saved.","该税类已保存."
"The tax rate has been deleted.","已删除税率."
"The tax rate has been imported.","已汇入税率."
"The tax rate has been saved.","已保存税率."
"The tax rule has been deleted.","已删除税则."
"The tax rule has been saved.","已保存税则."
"Total","总计"
"Unit Price","单价"
"Whether catalog prices entered by admin include tax.","目录价格是否签订包括税务管理."
"Whether shipping amounts entered by admin or obtained from gateways include tax.","无论运费由管理员或进入应收网关所得包括税."
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","该税种用于%d客户组，不能删除 ."
"You cannot delete this tax class as it is used for %d products.","该税种用于%d商品，不能删除"
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","该税种用于税则中，不能删除，要先删除使用它的税则。"
"Zip/Post Code","邮编"
"Yes","是"
"Zip/Post is Range","邮编/邮政范围"
