"* Required Fields","* 必填项目"
"Days in Wishlist","收藏的天数"
"DD","日"
"Default Addresses","默认配送地址"
"Default Billing Address","默认账单地址"
"Default Email Domain","默认邮件域名"
"Default Group","默认分组"
"Default Shipping Address","默认配送地址"
"Default Welcome Email","默认欢迎邮件"
"Delete","删除"
"Delete Address","删除地址"
"Delete customer","删除客户"
"Delete Customer","删除客户"
"Delete customer address","删除客户地址"
"Delete Customer Group","删除客户分组"
"Deleted Stores","删除商店"
"Details","详细"
"Disabled","未激活"
"You have not set a default billing address.","您还未填入地址信息。"
"Edit","修改"
"Edit Account Info","修改帐户信息"
"Edit Account Information","修改帐户信息"
"Edit Address","修改地址"
"Edit Address Entry","修改地址"
"Edit Account Information","修改账户信息"
"Edit Customer Group ""%s""","修改客户分组""%s"""
"Edit Customer Groups","修改客户分组"
"Edit Customer's Address","修改客户地址"
"Edit Group","修改分组"
"Edit Newsletter Subscription","修改订阅最新特惠信息订阅"
"Edit Newsletters","修改订阅最新特惠信息"
"Edit Personal Information","修改个人信息"
"Email","电子邮件"
"Email Address","电子邮箱"
"Email Sender","电子邮件发件人"
"Entity collection is expected","需要实体组合"
"Error during retrieval of option value: %s","获取选项值时出错：%s"
"Ext. Price","实际价格"
"Failed to confirm customer account.","认证客户帐号失败"
"Fax","固定电话"
"First Name","姓"
"First name can't be empty","姓氏不能为空"
"Forgot Email Sender","取回密码邮件的发件人"
"Forgot Email Template","取回密码邮件的模板"
"Forgot Your Password?","忘记您的密码了？"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","您可以选择下面的链接查看或修改信息。"
"General Subscription","订阅"
"Gender","性别"
"Global","全局"
"Go to Address Book","转到地址薄"
"Grand Total","总计"
"Grand Total: %s","总计：%s"
"Group","分组"
"Group ""%s"" can not be deleted","分组 ""%s"" 无法删除"
"Group Information","分组信息"
"Group Name","分组名称"
"Guest","访客"
"Hello, %s!","您好，%s!"
"HTML","HTML"
"ID","编号"
"If you have an account with us, please log in.","如果您已有帐号，请登录。"
"Invalid attribute option specified for attribute %s (%s), skipping the record","属性 %s (%s)的属性选项不正确，忽略该记录"
"Invalid attribute set specified, skipping the record","指定的属性集不正确，忽略该记录"
"Invalid current password","当前密码不正确"
"Invalid customer data","客户数据不正确"
"Invalid email address","电子邮件地址不正确"
"Invalid email address ""%s""","电子邮件地址不正确：""%s"""
"Invalid login or password.","电子邮件地址或密码不正确"
"Invalid option id specified for %s (%s), skipping the record","%s (%s)的选项编号不正确，忽略该记录"
"Invalid store specified, skipping the record","指定的商店不正确，忽略该记录"
"IP Address","IP 地址"
"Items Order","订购商品"
"Last 5 Orders","最近 5 个订单"
"Last Activity","最近访问"
"Last date subscribed","最后订阅日期"
"Last date unsubscribed","最后退订日期"
"Last Name","名"
"Last name can't be empty","名字不能为空"
"Last Url","最近 URL"
"Last Viewed Items","最近查看"
"Leave empty for default (15 minutes).","留空则使用缺省设置（15分钟）。"
"Leave empty for default (2). Valid range: 1-4","留空则使用缺省值(2)。可用范围：1-4"
"Lifetime Sales","全部销售"
"Log In","登录"
"Log in or Create an Account","登录或新建帐户"
"Log Out","注销"
"Login","登录"
"Login and password are required","需要用户名和密码"
"Login Information","登录信息"
"Login or Create an Account","登录或新建帐号"
"M.I.","M.I."
"Manage Addresses","地址管理"
"Manage Customers","客户管理"
"Missing email, skipping the record","缺少电子邮件，忽略该记录"
"Missing firstname, skipping the record","缺省名字，忽略该记录"
"Missing lastname, skipping the record","缺少姓氏，忽略该记录"
"MM","月"
"Month","月"
"My Account","我的帐户"
"My Account Dashboard","我的账户登录首页"
"My Dashboard","帐户查询"
"My Orders","我的订单"
"My Reviews","我的评论"
"My Tags","我的标签"
"My Wishlist","收藏夹"
"n/a","空"
"Name","姓名"
"Name and Address Options","姓名与地址选项"
"Never","从不"
"New account","新的帐户"
"New account confirmation key","新注册帐户认证码"
"New account confirmed","新帐户已通过确认"
"New Address","新增地址"
"New Address Entry","增加一个地址"
"New Customer","新客户"
"New Customer Address","新客户地址"
"New Customer Group","新客户分组"
"New Customer Groups","新客户分组"
"New Customers","新客户"
"New Group","新分组"
"New Password","新的密码"
"New password","新密码"
"Newsletter","订阅最新特惠信息"
"Newsletter Finish","订阅最新特惠信息完成"
"Newsletter Information","最新特惠信息"
"Newsletter Received","收到最新特惠信息"
"Newsletter Start","订阅最新特惠信息开始"
"Newsletter Subscription","最新特惠信息订阅"
"Newsletters","订阅最新特惠信息"
"No customer collections found","没有发现客户收藏"
"No item specified.","为选定项目."
"No item specified.","未选定记录。"
"No Items Found","没有找到项目"
"No Newsletter Found","没有最新特惠信息"
"No product collections found","没有找到商品组合"
"Not confirmed, can login","未验证，但允许登录"
"Not confirmed, cannot login","未验证，不允许登录"
"Not Sent","没有发送"
"Number of lines in a street address ","地址行数"
"Offline","离线"
"Online","在线"
"Online Customers","在线客户"
"Online Customers Options","在线客户选项"
"Online Minutes Interval","在线时间间隔"
"or","或"
"Order #","订单号"
"Order #%s (%s)","订单号%s (%s)"
"Order List...","订单列表..."
"Order Total","订单总额"
"Orders","订单"
"Password","密码"
"Password can't be empty","密码不能为空"
"Password fields can't be empty.","密码字段不能为空。"
"Password forgotten","忘记密码"
"Password Management","密码管理"
"Password minimal length must be more %s","密码长度必须大于 %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","密码最少6个字符，前后空格将被忽略。"
"Password Options","密码选项"
"Password:","密码:"
"Paused","暂停"
"Payment Method","支付方式"
"PDF","PDF"
"Pending","等待中"
"Per Website","独立"
"Personal Information","个人信息"
"Please enter your email below and we'll send you a new password.","请在下面输入您的电子邮件，我们会将新的密码发给您。"
"Please enter your email below and we'll send you confirmation link for it.","请在下面输入您的电子邮件，我们会将确认链接发给您。"
"Please enter your email.","请输入您的电子邮件。"
"Please make sure your passwords match.","请确保密码一致。"
"Please select","请选择"
"Please select region, state or province","请选择地区、省份"
"Please, check your e-mail for confirmation key.","请检查您的电子邮件，查看确认码。"
"Prefix","称谓"
"Prefix dropdown options","称谓下拉选项"
"Price","价格"
"Primary Billing Address","首选账单地址"
"Primary Shipping Address","首选配送地址"
"Problem saving the collection, aborting. Error: %s","保存组合出错，退出。错误：%s"
"Product","商品"
"Product ID","商品编号"
"Product name","商品名称"
"Product Name","商品名称"
"Product Reviews","商品评论"
"Product Tags","商品标签"
"Purchase On","购买日期"
"Purchased at","购买时间"
"Qty","数量"
"Recent Orders","最近订单"
"Records for ""","记录"""
"Redirect Customer to Account Dashboard after Logging in","登录后改变客户账户登录页面"
"Refunded","退款"
"Registered Customers","老客户"
"Remove","删除"
"Require Emails Confirmation","要求电子邮件验证"
"Retrieve address data","获取地址数据"
"Retrieve address info","获取地址信息"
"Retrieve customer addresses","获取客户地址"
"Retrieve customer data","获取客户数据"
"Retrieve customer's groups","获取客户组"
"Retrieve customers","获取客户记录"
"Retrieve customers info","获取客户信息"
"Retrieve your confirmation link here","在这里获取您的确认链接"
"Retrieve your password here","在这里找回密码"
"Sales Statistics","销售统计"
"Save","提交"
"You are now logged out","您已经退出登录"
"Save Address","保存地址"
"Save And Continue Edit","保存并继续修改"
"Save Customer","保存客户"
"Save Customer Group","保存客户分组"
"Save Password","保存密码"
"Saved ","已保存 "
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","多个值使用半角分号(;)分隔.<br/>若第一个选项为空请将分号放在开头。<br />放空则使用输入框。"
"Send auto-generated password","发送自动生成的密码"
"Send confirmation link","发送确认链接"
"Send welcome email","发送欢迎邮件"
"Send Welcome Email after Confirmation","验证成功后发送欢迎邮件"
"Send From","Send From"
"Sending","正在发送"
"Sent","已发出"
"Session Start Time","会话开始时间"
"Set as Default Billing Address","设为默认的账单地址"
"Set as Default Shipping Address","设为默认的配送地址"
"Share Customer Accounts","共享客户帐户"
"Ship to First name","收货人名字"
"Ship to Last name","收货人姓氏"
"Shipped to First Name","收货人名字"
"Shipped to Last Name","收货人姓氏"
"Shipped to Name","收货人姓名"
"Shipping Information","配送信息"
"Shipping Method","配送方式"
"Shopping Cart","购物车"
"Shopping Cart - %d item(s)","购物车 - %d 件商品"
"Show date of birth","显示生日"
"Show Gender","Show Gender"
"Show middle name (initial)","显示中间名"
"Show prefix","显示称谓"
"Show suffix","显示后缀"
"Show Tax/VAT number","显示税号/增值税号码"
"Sign Up for Newsletter","是否订阅电子杂志"
"Sign up for our newsletter","登记我们的订阅最新特惠信息"
"Skip import row, required field ""%s"" not defined","忽略导入行，必填栏目 ""%s"" 未定义"
"Skip import row, website ""%s"" field not exists","忽略导入行，网站 ""%s"" 栏不存在"
"SKU","SKU"
"State/Province","省份"
"Status","状态"
"Store","商店"
"Store View","商店界面"
"Street Address","地址行一"
"Street Address ","街道地址 "
"Street Address %s","街道地址%s"
"Subject","标题"
"Submit","提交"
"Subscribe","订阅"
"Subscribe to newsletter","订阅订阅最新特惠信息"
"Subscribed to Newsletter?","订阅订阅最新特惠信息？"
"Suffix","称谓"
"Suffix dropdown options","后缀下拉选项"
"Tag Name","标签名称"
"Tax class","税率"
"Tax Class","税种"
"Tax/VAT number","税号/增值税号码"
"TAX/VAT number is required.","税号/增值税号码不能为空。"
"Telephone","手机"
"Text","文字"
"Text One Line","一行文字"
"Thank you for registering with %s","感谢您注册%s"
"The address does not belong to this customer","地址不属于该客户"
"The address was successfully deleted","成功删除地址"
"The address was successfully saved","成功保存地址"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","这个电子邮件已被注册，请登录或用另一个电子邮件地址注册."
"The account information has been saved.","帐户信息已保存。"
"The address has been saved.","保存地址."
"The customer does not have default billing address.","用户没有默认收费地址."
"The customer group has been deleted.","已删除用户组."
"The customer group has been saved.","已保存用户组."
"The group ""%s"" cannot be deleted.","""%s""组不能被删除."
"The password fields cannot be empty.","密码区域不能为空."
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","密码至少为6位数.空格将被忽略."
"The suffix that goes after name (Jr., Sr., etc.)","显示于姓名之后的后缀 (Jr., Sr. 等.)"
"The title that goes before name (Mr., Mrs., etc.)","显示于姓名前的（Mr., Mrs. 等）"
"There are no items in customer's shopping cart at the moment","客户的购物车中没有商品"
"There are no items in customer's wishlist at the moment","客户的收藏中没有商品"
"There was an error while deleting the address","删除地址出错"
"This account is not confirmed.","该帐号尚未确认。"
"This customer has no saved addresses.","该客户没有保存地址。"
"This e-mail does not require confirmation.","此电子邮件不需要验证。"
"This email address was not found in our records","没有找到该电子邮件地址"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","帐号确认后将发送此邮件（而非缺省欢迎邮件）。"
"This is My Primary %s Address","这是我的首选%s地址"
"This email does not require confirmation.","这封电子邮件不需要确认."
"This customer email already exists.","已存在此客户的电子邮件."
"To Cart","到购物车"
"Total","总计"
"Type","类型"
"Unknown","未知"
"Unsubscribe from newsletter","退订订阅最新特惠信息"
"Update","更新"
"Use as My Default %s Address","使用我默认的%s地址"
"Update customer address data","更新用户地址数据"
"Update customer data","更新用户数据"
"Use as my default billing address","作为我的默认账单地址"
"Use as my default shipping address","作为我的默认配送地址"
"Use as My Primary %s Address","作为我的首选%s地址"
"Use as My Default Shipping Address","作为我的默认配送地址"
"User description","用户说明"
"View","查看"
"View Order","查看订单"
"View Order List","查看订单列表"
"Visible In","可见"
"Visitor","访客"
"Visitors Only","仅限访客"
"Website","网站"
"Welcome Email","欢迎邮件"
"Wishlist","收藏"
"Wishlist - %d item(s)","收藏 - %d件商品"
"Wrong confirmation key.","错误的确认码。"
"Wrong customer account specified.","错误的客户帐号。"
"Wrong email.","错误的电子邮件。"
"Wrong region id by selected country","已选国家的地区编号不正确"
"Wrong transactional account email type.","错误的交易帐号电子邮件类型。"
"XML","XML"
"Year","年"
"You are currently not subscribed to any newsletter.","您没有订阅最新特惠信息。"
"You are currently not subscribed to our newsletter","您没有订阅最新特惠信息"
"You are currently subscribed to 'General Subscription'.","您订阅了最新特惠信息。"
"You are currently subscribed to our newsletter","您订阅了最新特惠信息"
"You are currently subscribed to our newsletter.","您订阅了最新特惠信息。"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","您已成功退出，在5秒后将转到首页。"
"You have no additional address entries in your address book.","您的地址簿中没有其他地址。"
"You have no additional entries in your address book.","您的地址簿中没有其他地址。"
"You have no default billing address in your address book.","您的地址簿中没有默认的账单地址。"
"You have no default shipping address in your address book.","您的地址簿中没有默认的配送地址。"
"You have no primary entries in your address book.","您的地址簿中没有首选地址。"
"You have not set a primary billing address.","您没有设置首选账单地址。"
"You have not set a primary shipping address.","您没有设置首选配送地址。"
"You have placed no orders yet.","您还没有任何订单。"
"You have placed no products yet.","您还没有订购任何商品。"
"You're now Logged Out","您已退出"
"You have logged out and will be redirected to our homepage in 5 seconds.","您已退出且在5秒内回到首页."
"Your account balance is: %s","您的帐户余额为：%s"
"YYYY","年"
"ZIP","邮编"
"ZIP/Post Code","邮编"
"ZIP/Postal Code","邮编"
"Zip/Postal Code","邮编"
"Please enter your email below and we will send you a new password.","请填写您注册帐号时用的Email地址,我们将立即发送新的临时密码给您。"
"A new password has been sent.","新的临时密码已发送到您的邮箱。"
"Thank you for registering with %s.","感谢注册成为 %s 会员。"
"This account is not confirmed. <a href=""%s"">Click here</a> to resend confirmation email.","您账号还没有被激活,需要重新激活<a href=""%s"">请点击</a>"
"Forget Password","密码修改"
"Please, check your email for confirmation key.","邮件已再次发送至您的邮箱，请立刻激活。"
"processing","受理"
"Verify code does not match.","验证码不正确."
"Invalid email address "".","电子邮箱为空。"
"processing","受理"
"Your subscription has been confirmed.","您的邮件已经成功订阅。"
"This email address was not found in our records.","您的电子邮件不存在！"
